Month_Day,2023,2024,2025,2026,2027
08-18,1030555.9999999999,167724.0,309224.99999999965,1232847.0,1198180.0
08-19,545365.0000000002,738923.9999999999,985410.0,1767985.0000000005,535954.0000000002
08-20,229054.00000000047,2152931.0,985410.0,263586.99999999965,245116.00000000012
08-21,144986.00000000058,109699.0,2005251.000000001,1421332.0000000002,1198180.0
08-22,105200.0000000007,870185.0,1423800.0000000005,922886.0,2347882.999999999
08-23,11532.000000000698,2581136.0,445412.99999999965,1001102.0,934059.0
08-24,1030555.9999999999,995967.0,693931.9999999998,323154.99999999965,1767937.9999999995
08-25,836328.0,266228.9999999999,985410.0,799401.9999999999,692267.0000000001
08-26,78000.00000000058,90276.99999999988,789388.9999999999,323622.99999999965,1198180.0
08-27,983629.9999999999,995967.0,46181.9999999993,1001102.0,221047.00000000023
08-28,787922.0,2088198.0,1517943.0000000005,184924.99999999965,1639210.9999999995
08-29,113473.00000000047,1371241.0,985410.0,1687704.0000000005,1198180.0
08-30,1030555.9999999999,1721775.0,274470.99999999953,1001102.0,4243152.999999998
08-31,1581837.9999999995,813114.0,2050034.0000000007,1280352.0000000002,1198180.0
09-01,835290.0,995967.0,985410.0,1001102.0,1198180.0
09-02,1452478.9999999995,995967.0,985410.0,1001102.0,1198180.0
09-03,1127601.9999999998,158097.99999999988,708147.9999999998,1222897.0,1982906.9999999995
09-04,277265.0000000006,2602408.0,985410.0,801358.0,1132502.0
09-05,283414.00000000047,255445.99999999988,972796.0,102291.99999999953,2267885.999999999
09-06,1353564.9999999995,995967.0,1954325.0000000005,2300934.000000001,70083.00000000023
09-07,840629.0,1857767.0,2006033.000000001,2031956.0000000005,1694374.9999999998
09-08,108200.00000000047,995967.0,985410.0,1001102.0,1198180.0
09-09,400244.00000000047,1233784.0,286187.99999999953,925660.0,1198180.0
09-10,1917312.9999999993,89999.99999999988,985410.0,926953.0,678486.0000000002
09-11,1617894.9999999995,995967.0,77023.99999999942,2768970.000000001,535008.0000000002
09-12,654462.0000000002,997333.0,1435168.0000000005,367063.99999999965,1145079.0
